light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
0,dense,off,direct,direct,forward,tiled,Release,1,10,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045216,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045216,0,0,0,0,1.985376,3.445599,0.933801
0,dense,off,direct,direct,forward,tiled,Release,1,11,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045600,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045600,0,0,0,0,1.642016,3.093285,0.904296
0,dense,off,direct,direct,forward,tiled,Release,1,12,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045536,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045536,0,0,0,0,2.222752,3.744773,0.956946
0,dense,off,direct,direct,forward,tiled,Release,1,13,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045472,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045472,0,0,0,0,1.287296,2.589053,0.855975
0,dense,off,direct,direct,forward,tiled,Release,1,14,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045408,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045408,0,0,0,0,1.493408,2.985111,0.885199
0,dense,off,direct,direct,forward,tiled,Release,1,15,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.044928,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.044928,0,0,0,0,1.795808,3.246414,0.901731
0,dense,off,direct,direct,forward,tiled,Release,1,16,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045376,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045376,0,0,0,0,1.706240,3.161343,0.891041
0,dense,off,direct,direct,forward,tiled,Release,1,17,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045248,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045248,0,0,0,0,1.826592,3.346453,0.830577
0,dense,off,direct,direct,forward,tiled,Release,1,18,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045472,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045472,0,0,0,0,1.275200,2.538429,0.821088
0,dense,off,direct,direct,forward,tiled,Release,1,19,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.044256,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.044256,0,0,0,0,1.989408,3.392039,0.978656
0,dense,off,direct,direct,forward,tiled,Release,1,20,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.044800,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.044800,0,0,0,0,1.290400,2.977917,0.907562
0,dense,off,direct,direct,forward,tiled,Release,1,21,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.044416,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.044416,0,0,0,0,2.283296,3.807883,0.961053
0,dense,off,direct,direct,forward,tiled,Release,1,22,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045408,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045408,0,0,0,0,1.292480,2.533469,0.800881
0,dense,off,direct,direct,forward,tiled,Release,1,23,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045696,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045696,0,0,0,0,2.298592,3.845033,0.980810
0,dense,off,direct,direct,forward,tiled,Release,1,24,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045472,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045472,0,0,0,0,1.457344,2.940827,0.833271
0,dense,off,direct,direct,forward,tiled,Release,1,25,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045248,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045248,0,0,0,0,2.216160,3.781523,1.005687
0,dense,off,direct,direct,forward,tiled,Release,1,26,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.044704,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.044704,0,0,0,0,1.281312,2.620693,0.841157
0,dense,off,direct,direct,forward,tiled,Release,1,27,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045696,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045696,0,0,0,0,1.572896,3.021800,0.903144
0,dense,off,direct,direct,forward,tiled,Release,1,28,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045632,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045632,0,0,0,0,1.797888,3.232197,0.885851
0,dense,off,direct,direct,forward,tiled,Release,1,29,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045568,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045568,0,0,0,0,1.685312,3.199605,0.890009
