light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
0,dense,off,direct,direct,forward,forward,Release,1,10,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045728,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045728,0,0,0,0,1.492448,3.141706,0.927199
0,dense,off,direct,direct,forward,forward,Release,1,11,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045824,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045824,0,0,0,0,1.559168,3.034474,0.895429
0,dense,off,direct,direct,forward,forward,Release,1,12,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045856,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045856,0,0,0,0,1.435008,2.922072,0.956514
0,dense,off,direct,direct,forward,forward,Release,1,13,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045888,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045888,0,0,0,0,1.280928,2.728076,1.030955
0,dense,off,direct,direct,forward,forward,Release,1,14,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.044928,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.044928,0,0,0,0,1.985184,3.610270,0.903014
0,dense,off,direct,direct,forward,forward,Release,1,15,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045888,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045888,0,0,0,0,1.274656,2.636544,0.982834
0,dense,off,direct,direct,forward,forward,Release,1,16,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045696,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045696,0,0,0,0,1.796288,4.010906,0.859371
0,dense,off,direct,direct,forward,forward,Release,1,17,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045600,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045600,0,0,0,0,1.467424,2.973328,0.965691
0,dense,off,direct,direct,forward,forward,Release,1,18,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.046080,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.046080,0,0,0,0,1.985216,3.793476,0.884709
0,dense,off,direct,direct,forward,forward,Release,1,19,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045760,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045760,0,0,0,0,1.313280,2.689964,0.996129
0,dense,off,direct,direct,forward,forward,Release,1,20,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.046112,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.046112,0,0,0,0,2.199936,3.679661,0.901040
0,dense,off,direct,direct,forward,forward,Release,1,21,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.045920,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.045920,0,0,0,0,1.302656,2.627266,0.938811
0,dense,off,direct,direct,forward,forward,Release,1,22,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.036832,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.036832,0,0,0,0,1.611424,2.878630,0.906550
0,dense,off,direct,direct,forward,forward,Release,1,23,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037408,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037408,0,0,0,0,1.407008,2.931128,0.932119
0,dense,off,direct,direct,forward,forward,Release,1,24,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037984,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037984,0,0,0,0,1.273216,2.402743,0.911870
0,dense,off,direct,direct,forward,forward,Release,1,25,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037408,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037408,0,0,0,0,1.839392,3.210316,0.871154
0,dense,off,direct,direct,forward,forward,Release,1,26,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037440,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037440,0,0,0,0,1.279680,2.539791,0.953078
0,dense,off,direct,direct,forward,forward,Release,1,27,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037472,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037472,0,0,0,0,1.708704,3.033041,0.849973
0,dense,off,direct,direct,forward,forward,Release,1,28,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037152,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037152,0,0,0,0,1.407776,2.803318,0.894237
0,dense,off,direct,direct,forward,forward,Release,1,29,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,0,0,0,0,0,0,0,10,59577472,0.037824,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.037824,0,0,0,0,1.266592,2.370180,0.905508
